,date,count(id),sum(case when package_status='delivered' then 1 else 0 end)
0,2018-04-18,191,191
1,2018-04-19,117,117
2,2018-04-20,143,143
3,2018-04-21,39,39
4,2018-04-23,49,49
5,2018-04-24,36,36
6,2018-04-25,493,493
7,2018-04-26,237,236
8,2018-04-27,229,229
9,2018-04-28,148,148
10,2018-04-29,61,61
11,2018-04-30,54,54
12,2018-05-02,95,95
13,2018-05-03,32,32
14,2018-05-04,21,21
15,2018-05-05,4,4
16,2018-05-07,52,52
17,2018-05-08,30,30
18,2018-05-12,30,30
19,2018-05-14,37,37
20,2018-05-15,18,18
21,2018-05-16,14,14
22,2018-05-17,21,21
23,2018-05-18,18,18
24,2018-05-19,10,10
25,2018-05-21,42,42
26,2018-05-22,34,34
27,2018-05-23,19,19
28,2018-05-25,17,17
29,2018-05-27,44,43
30,2018-05-28,25,25
31,2018-05-29,12,12
32,2018-05-30,5,5
33,2018-05-31,12,12
34,2018-06-01,148,148
35,2018-06-02,231,231
36,2018-06-04,390,390
37,2018-06-05,281,281
38,2018-06-06,66,66
39,2018-06-07,53,53
40,2018-06-08,121,121
41,2018-06-09,45,45
42,2018-06-11,119,119
43,2018-06-12,47,46
44,2018-06-13,30,30
45,2018-06-14,88,88
46,2018-06-18,145,145
47,2018-06-19,47,47
48,2018-06-20,62,62
49,2018-06-21,51,51
50,2018-06-22,50,50
51,2018-06-23,24,24
52,2018-06-25,108,108
53,2018-06-26,77,77
54,2018-06-27,99,99
55,2018-06-28,55,54
56,2018-06-29,135,135
57,2018-06-30,57,57
58,2018-07-02,174,174
59,2018-07-03,109,109
60,2018-07-04,64,64
61,2018-07-05,88,88
62,2018-07-06,111,111
63,2018-07-07,79,79
64,2018-07-09,129,129
65,2018-07-10,59,59
66,2018-07-11,41,41
67,2018-07-12,59,59
68,2018-07-13,75,75
69,2018-07-14,26,26
70,2018-07-16,236,236
71,2018-07-17,113,113
72,2018-07-18,54,54
73,2018-07-19,77,77
74,2018-07-20,65,65
75,2018-07-21,41,41
76,2018-07-23,207,207
77,2018-07-24,112,112
78,2018-07-25,75,75
79,2018-07-26,71,71
80,2018-07-27,93,93
81,2018-07-28,43,43
82,2018-07-30,208,208
83,2018-07-31,121,121
84,2018-08-01,49,49
85,2018-08-02,184,184
86,2018-08-03,157,157
